# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 400
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 400
DATA ascii
0.463535 0.583196 -0.159158
0.393174 0.583196 -0.29725
0.283583 0.583196 -0.406841
0.14549 0.583196 -0.477203
-0.0075863 0.583196 -0.501448
-0.160663 0.583196 -0.477203
-0.298756 0.583196 -0.406841
-0.408346 0.583196 -0.29725
-0.478708 0.583196 -0.159158
-0.502953 0.583196 -0.0060812
-0.478708 0.583196 0.146996
-0.408346 0.583196 0.285088
-0.298756 0.583196 0.394679
-0.160663 0.583196 0.465041
-0.0075863 0.583196 0.489285
0.14549 0.583196 0.46504
0.283583 0.583196 0.394679
0.393174 0.583196 0.285088
0.463535 0.583196 0.146996
0.48778 0.583196 -0.0060812
0.472845 0.644999 -0.162183
0.401093 0.644999 -0.303004
0.289337 0.644999 -0.414761
0.148515 0.644999 -0.486513
-0.0075863 0.644999 -0.511237
-0.163688 0.644999 -0.486513
-0.304509 0.644999 -0.414761
-0.416266 0.644999 -0.303004
-0.488018 0.644999 -0.162183
-0.512742 0.644999 -0.0060812
-0.488018 0.644999 0.15002
-0.416266 0.644999 0.290842
-0.304509 0.644999 0.402598
-0.163688 0.644999 0.47435
-0.0075863 0.644999 0.499074
0.148515 0.644999 0.47435
0.289336 0.644999 0.402598
0.401093 0.644999 0.290842
0.472845 0.644999 0.15002
0.497569 0.644999 -0.0060812
0.499863 0.700753 -0.170961
0.424075 0.700753 -0.319702
0.306034 0.700753 -0.437743
0.157294 0.700753 -0.51353
-0.0075863 0.700753 -0.539644
-0.172466 0.700753 -0.51353
-0.321207 0.700753 -0.437743
-0.439248 0.700753 -0.319702
-0.515035 0.700753 -0.170961
-0.54115 0.700753 -0.0060812
-0.515035 0.700753 0.158799
-0.439248 0.700753 0.307539
-0.321207 0.700753 0.42558
-0.172466 0.700753 0.501368
-0.0075863 0.700753 0.527482
0.157294 0.700753 0.501367
0.306034 0.700753 0.42558
0.424075 0.700753 0.307539
0.499862 0.700753 0.158799
0.525977 0.700753 -0.0060812
0.541944 0.745 -0.184634
0.459872 0.745 -0.345709
0.332042 0.745 -0.473539
0.170967 0.745 -0.555611
-0.0075863 0.745 -0.583891
-0.186139 0.745 -0.555611
-0.347214 0.745 -0.473539
-0.475044 0.745 -0.345709
-0.557116 0.745 -0.184634
-0.585396 0.745 -0.0060812
-0.557116 0.745 0.172472
-0.475044 0.745 0.333547
-0.347214 0.745 0.461377
-0.186139 0.745 0.543448
-0.0075863 0.745 0.571728
0.170967 0.745 0.543448
0.332042 0.745 0.461377
0.459871 0.745 0.333547
0.541943 0.745 0.172472
0.570223 0.745 -0.0060812
0.594968 0.773407 -0.201863
0.504977 0.773407 -0.37848
0.364813 0.773407 -0.518645
0.188196 0.773407 -0.608636
-0.0075863 0.773407 -0.639645
-0.203368 0.773407 -0.608636
-0.379985 0.773407 -0.518645
-0.52015 0.773407 -0.37848
-0.610141 0.773407 -0.201863
-0.64115 0.773407 -0.0060812
-0.610141 0.773407 0.189701
-0.52015 0.773407 0.366318
-0.379985 0.773407 0.506482
-0.203368 0.773407 0.596473
-0.0075863 0.773407 0.627482
0.188196 0.773407 0.596473
0.364813 0.773407 0.506482
0.504977 0.773407 0.366318
0.594968 0.773407 0.189701
0.625977 0.773407 -0.0060812
0.653747 0.783196 -0.220961
0.554977 0.783196 -0.414808
0.40114 0.783196 -0.568645
0.207294 0.783196 -0.667414
-0.0075863 0.783196 -0.701448
-0.222466 0.783196 -0.667414
-0.416313 0.783196 -0.568645
-0.57015 0.783196 -0.414808
-0.668919 0.783196 -0.220961
-0.702953 0.783196 -0.0060812
-0.668919 0.783196 0.208799
-0.57015 0.783196 0.402645
-0.416313 0.783196 0.556482
-0.222466 0.783196 0.655252
-0.0075863 0.783196 0.689285
0.207294 0.783196 0.655252
0.40114 0.783196 0.556482
0.554977 0.783196 0.402645
0.653747 0.783196 0.208799
0.68778 0.783196 -0.0060812
0.712525 0.773407 -0.24006
0.604977 0.773407 -0.451135
0.437467 0.773407 -0.618645
0.226392 0.773407 -0.726193
-0.0075863 0.773407 -0.763251
-0.241565 0.773407 -0.726193
-0.45264 0.773407 -0.618645
-0.62015 0.773407 -0.451135
-0.727698 0.773407 -0.24006
-0.764757 0.773407 -0.0060812
-0.727698 0.773407 0.227897
-0.62015 0.773407 0.438972
-0.45264 0.773407 0.606482
-0.241565 0.773407 0.71403
-0.0075863 0.773407 0.751089
0.226392 0.773407 0.71403
0.437467 0.773407 0.606482
0.604977 0.773407 0.438972
0.712525 0.773407 0.227897
0.749584 0.773407 -0.0060812
0.76555 0.745 -0.257289
0.650083 0.745 -0.483906
0.470238 0.745 -0.663751
